# 想定質問集

## 基本的な疑問
- 「令和の米騒動②って何？」
- 「前回の内容を簡単に教えて」
- 「竹本さんのもう一つの顔って？」
- 「事業承継の本ってどんな内容？」
- 「結局米の未来は大丈夫？」

## 後継者問題について
- 「なぜ後継者がいないの？」
- 「収入だけが問題？」
- 「継ぐべき？継がないべき？」
- 「親はどう思ってる？」
- 「子供はどう思ってる？」

## 米価格と収入の関係
- 「値上げで本当に解決？」
- 「適正価格っていくら？」
- 「赤字から黒字になった？」
- 「他の農家も同じ状況？」
- 「この値段は続く？」

## 世代間のギャップ
- 「80歳から65歳って普通？」
- 「若い人は農業したい？」
- 「定年後の農業ってどう？」
- 「30代・40代は増える？」
- 「技術の伝承はできる？」

## 経営の現実
- 「コンバイン800万円って高い？」
- 「新規就農は無理？」
- 「機械は借りられる？」
- 「初期投資はどれくらい？」
- 「回収に何年かかる？」

## 竹本さんの経験
- 「18年前の状況は？」
- 「なぜ農業を選んだ？」
- 「ネット販売のきっかけは？」
- 「イタリア米って何？」
- 「家族の反応は？」

## 未来への展望
- 「米消費は増える？」
- 「輸入米の影響は？」
- 「食糧安保は大丈夫？」
- 「イノベーションは必要？」
- 「消費者ができることは？」

## 他の農業分野との比較
- 「酉農も同じ問題？」
- 「米が例になる？」
- 「野菜農家はどう？」
- 「果樹農家は？」
- 「最も厳しい分野は？」

## その他の疑問
- 「円満な事業承継ってある？」
- 「親子で意見が合わない時は？」
- 「教えたいことと学びたいことのギャップは？」
- 「次回のテーマは？」
- 「リスナーに伝えたいことは？」
