# 想定質問集

## ゲノム編集技術の基本
- 「ゲノム編集って何？分かりやすく説明して」
- 「遺伝子組み換え（GMO）との違いは？」
- 「「悪い遺伝子を削り取る」ってどういう意味？」
- 「CRISPR-Cas9って何？」
- 「自然界でも起こる変異と同じって本当？」

## 届出制度と流通状況
- 「届出制度が始まって何年？」
- 「7品目届出、4品目流通って具体的に何？」
- 「どこで買えるの？普通のスーパーにある？」
- 「今まで知らずに食べてた可能性がある？」
- 「届出されていないものでも流通してる？」

## 表示問題と検出
- 「なぜ表示義務がないの？」
- 「検出できないってどういうこと？」
- 「任意表示できるなら表示してほしい」
- 「消費者の知る権利はどうなるの？」
- 「他の国では表示義務があるの？」

## 安全性とリスク
- 「本当に安全なの？長期影響は？」
- 「届出制度で安全性は確認されてるの？」
- 「予想しない副作用はありえる？」
- 「アレルギーや毒性は大丈夫？」
- 「子供や妥婦が食べても安全？」

## 認知度と消費者意識
- 「9割が知らないって異常じゃない？」
- 「教育や啓発が不足してる？」
- 「メディアがあまり報道しない理由は？」
- 「専門用語が難しくて理解できない」
- 「不安を覚える消費者の気持ちは理解できる？」

## 企業・産業への影響
- 「企業はなぜゲノム編集を開発するの？」
- 「コストや開発期間のメリットは？」
- 「農家にとってのメリットは？」
- 「従来の品種改良と何が違う？」
- 「特許や知的財産の問題は？」

## 国際比較と規制
- 「アメリカやヨーロッパの規制はどうなってる？」
- 「日本の規制は甘い？午しい？」
- 「輸出入への影響はある？」
- 「国際標準化の動きはある？」
- 「他国での実用化状況は？」

## 将来展望と応用
- 「今後どんな食品が開発される？」
- 「気候変動対策に役立つ？」
- 「食料危機の解決につながる？」
- 「いつごろ一般的になる？」
- 「价格は下がっていく？」

## メリットとデメリット
- 「消費者にとってのメリットは？」
- 「環境への影響はポジティブ？」
- 「栄養価の向上は期待できる？」
- 「リスクやデメリットはないの？」
- 「生態系への影響は大丈夫？」

## 個人の選択と対応
- 「ゲノム編集食品を避けたい場合は？」
- 「どうやって見分ければいい？」
- 「情報収集の方法を教えて」
- 「子供にどう説明しよう？」
- 「家族で意見が分かれたらどうする？」

## 科学コミュニケーション
- 「専門家と一般人の溝をどう埋める？」
- 「科学的根拠を分かりやすく伝える方法は？」
- 「不安を煽らずに理解を促進するには？」
- 「メディアの役割をどう考える？」
- 「教育現場ではどう扱うべき？」

## 倫理・社会的問題
- 「生命を操作することの倫理的問題は？」
- 「寺田寅彦氏のノーベル賞との関係は？」
- 「大企業による種子支配の懸念は？」
- 「伝統的農業への影響は？」
- 「生物多様性への影響はどう？」

## ビジネス・経済影響
- 「市場規模はどのくらい？」
- 「日本の競争力に影響する？」
- 「投資対効果はどうなってる？」
- 「スタートアップのチャンスはある？」
- 「雇用创出効果は期待できる？」

## お便り回形式について
- 「こういうお便り回、もっとやってほしい」
- 「他にも気になるテーマがある」
- 「リスナーの疑問から始まるのがいい」
- 「専門家と一般人の対話が新鮮」
- 「科学技術を身近に感じられる」

## このエピソードへの感想
- 「認知度の低さに驚いた」
- 「表示問題の複雑さが分かった」
- 「もっと勉強したいと思った」
- 「不安が少し解消された」
- 「家族と話し合いたい」
