# 想定質問集

## 基本的な疑問

### Q1: コーヒー2050年問題って何ですか？
A: 2014年に発表された論文で、2050年にはコーヒー栽培に適した土地が半分になると予測されました。地球温暖化により気温が上昇すると、収穫量が2〜3割減少し、価格が大幅に上がる可能性があります。現在400円程度のコーヒーが800円、1000円になるかもしれない深刻な問題です。

### Q2: なぜ温暖化がコーヒーに悪影響を与えるのですか？
A: コーヒーの主流であるアラビカ種は涼しい場所（平均気温18.7度）を好むため、赤道直下でも標高1500m以上の山で栽培されています。温暖化により気温が上昇すると、害虫や病原菌が活発化し、もともと弱いアラビカ種は枯れたり収穫できなくなったりします。

### Q3: アラビカ種とロブスタ種の違いは？
A: アラビカ種は涼しい場所で育ち、糖分が多く香り豊か。世界生産量の6〜7割を占めます。一方、ロブスタ種は暖かい場所（平均気温23.7度）で育ち、苦みが強いのが特徴。生産量は3〜4割です。温暖化でアラビカが減りロブスタが増えると、コーヒーの味が変わってしまいます。

### Q4: どのくらい深刻な問題なのですか？
A: 2050年までにコーヒー栽培適地が半減する可能性があります。収穫量が減れば供給不足で価格が高騰し、コーヒーが「金持ちのもの」になってしまうかもしれません。2050年はあと約25年後なので、私たちの生活に直接影響する切迫した問題です。

## テーマ別の質問

### Q5: 対策はあるのですか？
A: 主に2つのアプローチがあります。
1. 品種アプローチ：アラビカからロブスタへの切り替え、または第三の品種開発（ただしリベリカ種はドリアンの香りがするなど課題あり）
2. 土地アプローチ：標高を上げる（1500m→2000m）か、赤道から離れる（ベトナム→中国など）

しかしどちらも森林伐採、ノウハウ継承などの課題があり、クリティカルな解決策はまだ見つかっていません。

### Q6: なぜコーヒー農家の収入は低いのですか？
A: 400円のコーヒーのうち、農家に届くのはわずか2円（1/200）程度。米の場合は1/3が農家の収入になるのと比べて、圧倒的に低い数字です。理由は流通業者が多すぎること。農家→産地バイヤー→加工業者→輸出業者→輸入業者→焙煎業者→卸業者→カフェと、7段階もの流通を経ています。

### Q7: なぜコーヒー農家は儲からないのにやめないのですか？
A: 赤道直下の標高が高い場所という特殊な環境では、コーヒー以外の選択肢が限られているためです。カカオも似た問題を抱えており、簡単に作物を変えることはできません。「他に作れるものがない」というのが現実なのです。

## 実践的な質問

### Q8: 消費者として何ができますか？
A: フェアトレードコーヒーを選ぶ、産地直送のコーヒーを買う、コーヒーの価値を理解して適正価格を支払う、などができます。スターバックスのように自社で焙煎し産地から直接買うモデルが増えれば、農家の収入改善につながります。

### Q9: 直取引が増えれば解決しますか？
A: 直取引により流通段階を減らせば、農家の取り分を増やすことができます。しかし流通業者にもノウハウがあり、完全に省くことは難しいでしょう。バランスの取れた仕組みづくりが必要です。

### Q10: コーヒーがなくても生活はできますか？
A: コーヒーは「換金作物」で、世の中になくても体には影響ないかもしれません。しかし多くの人の日常や心の豊かさに影響を与えるものです。また、コーヒー農家にとっては生計を立てる唯一の手段である場合が多く、単純な市場原理では解決できない問題があります。

## 科学的な質問

### Q11: ビッグデータで何が分かったのですか？
A: 2014年、コロンビアの研究者らが衛星画像を使ってコーヒー産地を割り出し、気候変動予測と組み合わせてシミュレーションしました。その結果、温度や雨の変化により収穫量がどう変わるかを予測し、2050年問題を提起しました。

### Q12: なぜアラビカは糖分が多いと香りが良いのですか？
A: コーヒーは焙煎時に高温で加熱されるため、糖分がメイラード反応やカラメル化を起こし、香りの成分が生成されます。糖分が多いほど香りのバリエーションが増えるため、アラビカ種の方が香り豊かになるのです。

### Q13: 標高を上げたり赤道から離れたりする案はなぜ難しいのですか？
A: 標高を上げる場合、面積が少なくなる上に森林伐採が必要です。赤道から離れる場合、もともと農家ではない人が新たに栽培することになり、ノウハウ継承が課題になります。また、赤道直下ほど雨が多くないため、水不足の問題も出てきます。

## 状況別の質問

### Q14: ブラジルはコーヒーを消費するのに、他の産地では消費しないのはなぜですか？
A: 多くのコーヒー産地では、コーヒーは高級品として扱われています。農家が自分で飲むより売った方が収入になるため、産地では消費されにくいのです。ブラジルは例外的に国内消費が多い国です。

### Q15: カカオも同じ問題を抱えているのですか？
A: はい。カカオもコーヒーと横並びで同じ議論がされることが多いです。産地が微妙に異なる（カカオは西アフリカのガーナなど、コーヒーは東アフリカのエチオピアなど）ものの、作物を簡単に変えられない点は共通しています。

## 番組に関する質問

### Q16: 次回はどんな内容ですか？
A: コーヒー農家の収入改善策について深掘りする予定です。直取引の仕組み、トヨタ式改善の応用など、より具体的な解決策を議論します。

### Q17: コーヒーお便り会とは何ですか？
A: 10月1日配信予定のリスナーからのコーヒーに関する感想や質問を紹介する回です。概要欄のGoogleフォーム、SpotifyコメントX（Twitter）の#のーふーでお便りを募集しています。
