# 想定質問集

## 基本的な疑問
- 「たべ農ざくって何？」
- 「なぜ3番組合同開催なの？」
- 「オフ会は初めて？」
- 「どれくらいの規模？」
- 「品川のどこで開催？」

## 参加条件・申し込みについて
- 「番組を全部聴いていなくても参加できる？」
- 「年齢制限はある？」
- 「申し込み締切はいつ？」
- 「キャンセルはできる？」
- 「抽選の結果はいつわかる？」
- 「友達と一緒に申し込める？」

## 当日の内容について
- 「どんなプログラム？」
- 「パーソナリティ全員と話せる？」
- 「食事はどんなもの？」
- 「お酒は飲める？」
- 「録音や撮影はOK？」
- 「サインや記念撮影はできる？」

## 第0部（和食展）について
- 「和食展の入場料はいくら？」
- 「集合場所は？」
- 「どれくらい時間がかかる？」
- 「途中参加・途中退場はできる？」
- 「科博の年間パスは使える？」

## 料金・支払いについて
- 「8,000円に何が含まれる？」
- 「支払い方法は？」
- 「領収書は発行される？」
- 「学生割引はある？」

## アクセス・会場について
- 「最寄り駅は？」
- 「駐車場はある？」
- 「バリアフリー対応？」
- 「荷物を預ける場所はある？」

## 参加者について
- 「どんな人が参加する？」
- 「一人参加は本当に大丈夫？」
- 「初対面でも楽しめる？」
- 「名札とかある？」

## 3番組について
- 「たべものラジオってどんな番組？」
- 「農道223号ってどんな番組？」
- 「他の番組を知らなくても大丈夫？」
- 「パーソナリティは何人来る？」

## その他
- 「次回のオフ会予定は？」
- 「地方開催の予定は？」
- 「オンライン参加はできる？」
- 「当日の様子は配信される？」
- 「ドレスコードはある？」
