# 想定質問集

## 基本的な疑問
- 「さとぅーさんってどんな人？」
- 「農道223号って何の番組？」
- 「どうして小学校教員なのに農業を？」
- 「前編と後編の違いは？」
- 「このエピソードのポイントは？」

## 学習意欲について
- 「算数嫌いの子が本当に変わったの？」
- 「『自分ごと化』って具体的にどういうこと？」
- 「うちの子にも同じ方法が使える？」
- 「ゲーム好きな子にはどうアプローチすれば？」
- 「大人にも応用できる？」

## 農業教育について  
- 「学校で農業をやるときの課題は？」
- 「どれくらいの時間が必要？」
- 「費用はどうやって捍出してるの？」
- 「都市部の学校でもできる？」
- 「保護者の反応は？」

## 教科横断学習について
- 「具体的にどの教科と結びつくの？」
- 「国語と農業の関係は？」
- 「英語とはどう結びつける？」
- 「評価はどうするの？」
- 「指導案はどう作ってる？」

## 失敗と教育について
- 「教師が失敗を見せることのメリットは？」
- 「子どもが失敗を恐れなくなる方法は？」
- 「家庭でも同じようにできる？」
- 「失敗と成功のバランスは？」
- 「具体的な失敗例を教えて！」

## デジタルネイティブ世代へのアプローチ
- 「『待つ』ことの価値をどう教える？」
- 「スマホやゲームとの付き合い方は？」
- 「デジタルとアナログのバランスは？」
- 「すぐ結果が欲しい子への対応は？」
- 「観察記録のデジタル化は？」

## 実践的な質問
- 「今からできる簡単な農業体験は？」
- 「プランター栽培でも効果ある？」
- 「季節ごとのおすすめ野菜は？」
- 「失敗しにくい野菜は？」
- 「収穫した野菜の活用方法は？」

## 保護者からの質問
- 「勉強嫌いな子にどうアプローチすれば？」
- 「家庭学習での応用方法は？」
- 「子どもが興味を持たない場合は？」
- 「兄弟で差がある場合の対応は？」
- 「マンションでもできる工夫は？」

## 教育関係者からの質問
- 「カリキュラムにどう組み込む？」
- 「管理職の理解を得る方法は？」
- 「他教科の先生との連携は？」
- 「安全管理はどうしてる？」
- 「成果の測定方法は？」

## 今後の展望
- 「さとぅーさんの今後の目標は？」
- 「農業教育の未来像は？」
- 「他学校への普及方法は？」
- 「農家さんとの連携は？」
- 「オンラインでの取り組みは？」
